Match Num,Home,Away,Group,Winner
183,Zambia,Morocco,E,
184,Tanzania,Niger,E,
185,Kenya,Gambia,F,
186,Seychelles,Gabon,F,
187,Ivory_Coast,Burundi,F,
188,Gabon,Ivory_Coast,F,
189,Kenya,Seychelles,F,
190,Gambia,Burundi,F,
191,Uganda,Mozambique,G,
192,Somalia,Guinea,G,
193,Algeria,Botswana,G,
194,Guinea,Algeria,G,
195,Uganda,Somalia,G,
196,Mozambique,Botswana,G,
197,Namibia,Malawi,H,
198,Sao_Tome_and_Principe,Equatorial_Guinea,H,
199,Tunisia,Liberia,H,
200,Equatorial_Guinea,Tunisia,H,
201,Namibia,Sao_Tome_and_Principe,H,
202,Malawi,Liberia,H,
203,Madagascar,Central_African_Republic,I,
204,Chad,Ghana,I,
205,Mali,Comoros,I,
206,Ghana,Mali,I,
207,Madagascar,Chad,I,
208,Central_African_Republic,Comoros,I,
209,Djibouti,Egypt,A,
210,Sierra_Leone,Burkina_Faso,A,
211,Ethiopia,Guinea-Bissau,A,
212,Burkina_Faso,Ethiopia,A,
213,Djibouti,Sierra_Leone,A,
214,Egypt,Guinea-Bissau,A,
215,South_Sudan,Senegal,B,
216,Togo,Democratic_Republic_of_Congo,B,
217,Sudan,Mauritania,B,
218,Democratic_Republic_of_Congo,Sudan,B,
219,South_Sudan,Togo,B,
220,Senegal,Mauritania,B,
221,Lesotho,Nigeria,C,
222,Zimbabwe,South_Africa,C,
223,Rwanda,Benin,C,
224,South_Africa,Rwanda,C,
225,Lesotho,Zimbabwe,C,
226,Nigeria,Benin,C,
227,Mauritius,Cameroon,D,
228,Libya,Cape_Verde,D,
229,Eswatini,Angola,D,
230,Cape_Verde,Eswatini,D,
231,Mauritius,Libya,D,
232,Cameroon,Angola,D,
233,Tanzania,Zambia,E,
234,Niger,Congo,E,
235,Zambia,Niger,E,
236,Morocco,Congo,E,
237,Seychelles,Ivory_Coast,F,
238,Gambia,Gabon,F,
239,Burundi,Kenya,F,
240,Gabon,Burundi,F,
241,Seychelles,Gambia,F,
242,Ivory_Coast,Kenya,F,
243,Somalia,Algeria,G,
244,Mozambique,Guinea,G,
245,Botswana,Uganda,G,
246,Guinea,Botswana,G,
247,Somalia,Mozambique,G,
248,Algeria,Uganda,G,
249,Sao_Tome_and_Principe,Tunisia,H,
250,Malawi,Equatorial_Guinea,H,
251,Liberia,Namibia,H,
252,Equatorial_Guinea,Liberia,H,
253,Sao_Tome_and_Principe,Malawi,H,
254,Tunisia,Namibia,H,
255,Chad,Mali,I,
256,Central_African_Republic,Ghana,I,
257,Comoros,Madagascar,I,
258,Ghana,Comoros,I,
259,Chad,Central_African_Republic,I,
260,Mali,Madagascar,I,
261,,,R2 SF,
262,,,R2 SF,
263,,,R2 F,
